Sezione,Ubicazione,Voti
156,"P.THOUAR VIA D.NICCODEMI,1",145.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",139.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",242.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",220.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",137.0
161,"V.CORRIDI V.DI COLLINAIA,19",242.0
162,"V.CORRIDI V.DI COLLINAIA,19",194.0
163,"V.CORRIDI V.DI COLLINAIA,19",221.0
164,"V.CORRIDI V.DI COLLINAIA,19",194.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",197.0
166,"'C.BARTOLENA' VIA MICHEL,8",157.0
167,"'C.BARTOLENA' VIA MICHEL,8",173.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",154.0
169,"'C.BARTOLENA' VIA MICHEL,8",147.0
170,"'C.BARTOLENA' VIA MICHEL,8",120.0
171,"V.CORRIDI V.DI COLLINAIA,19",231.0
172,"V.CORRIDI V.DI COLLINAIA,19",173.0
