Sezione,Ubicazione,Voti
90,"MICHELANGELO VIA R.DUDLEY,3",18.0
91,"G.RODARI V.LE RISORGIMENTO,140",15.0
92,"G.RODARI V.LE RISORGIMENTO,140",8.0
93,"G.RODARI V.LE RISORGIMENTO,140",4.0
94,"G.RODARI V.LE RISORGIMENTO,140",9.0
95,"G.RODARI V.LE RISORGIMENTO,140",8.0
96,A. RAZZAUTI VIA BASILICATA 17a,12.0
97,A. RAZZAUTI VIA BASILICATA 17a,11.0
98,A. RAZZAUTI VIA BASILICATA 17a,22.0
99,"C.COLLODI VIA DI SALVIANO,87",3.0
100,"C.COLLODI VIA DI SALVIANO,87",6.0
101,"C.COLLODI VIA DI SALVIANO,87",11.0
102,"C.COLLODI VIA DI SALVIANO,87",6.0
103,A. RAZZAUTI VIA BASILICATA 17a,12.0
104,A. RAZZAUTI VIA BASILICATA 17a,25.0
105,"P.ALBERTELLI V.P.ALBERTELLI,1",30.0
106,"P.ALBERTELLI V.P.ALBERTELLI,1",25.0
107,"P.ALBERTELLI V.P.ALBERTELLI,1",21.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",18.0
109,"BARTOLENA VIA E.BOIS,14",24.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",20.0
111,"BARTOLENA VIA E.BOIS,14",21.0
112,"BARTOLENA VIA E.BOIS,14",14.0
113,"BARTOLENA VIA E.BOIS,14",20.0
114,"R.NATALI VIA A.CECIONI,37",27.0
115,"R.NATALI VIA A.CECIONI,37",27.0
116,"R.NATALI VIA A.CECIONI,37",21.0
117,"R.NATALI VIA A.CECIONI,37",23.0
118,"B.BRIN VIA SARDEGNA,25",32.0
119,"B.BRIN VIA SARDEGNA,25",27.0
120,"B.BRIN VIA SARDEGNA,25",26.0
121,"B.BRIN VIA SARDEGNA,25",21.0
122,"B.BRIN VIA SARDEGNA,25",19.0
123,"B.BRIN VIA SARDEGNA,25",23.0
124,LAMBRUSCHINI VIA P.VILLARI,24.0
